state,F7,F3,P7,O1,O2,P8,AF4
focussed,3757.2636217948725,5128.798076923077,4433.108974358975,3911.782852564103,3582.1073717948725,4218.733974358975,4037.19951923077
focussed,3997.1073717948725,4986.638621794872,4300.144230769231,4262.255608974359,4069.1666666666674,4128.297275641026,4158.389423076924
focussed,4026.9150641025644,5151.278044871796,4444.779647435898,4139.591346153847,3927.0713141025644,4276.069711538462,4214.627403846154
focussed,3759.7155448717954,5358.898237179488,4628.104967948719,3822.976762820513,3382.035256410257,4438.754006410257,4164.6474358974365
focussed,3744.8998397435903,4970.909455128206,4309.306891025642,4135.845352564103,3816.850961538462,4120.304487179487,4078.2131410256416
focussed,3951.0136217948725,4891.314102564103,4231.614583333334,4313.104967948719,4104.519230769231,4060.9575320512827,4134.114583333334
focussed,4025.0480769230776,5003.874198717949,4312.239583333334,4292.451923076924,4100.048076923077,4125.4286858974365,4179.95592948718
focussed,3883.0008012820517,5217.3557692307695,4502.740384615386,4057.4919871794878,3808.052884615385,4277.151442307693,4226.326121794872
focussed,3809.811698717949,5311.466346153847,4601.798878205129,3899.338942307693,3656.614583333334,4349.971955128206,4266.430288461539
focussed,3777.139423076924,5163.193108974359,4442.5360576923085,4001.7788461538466,3733.7099358974365,4164.142628205129,4153.585737179487
focussed,3972.66826923077,4813.381410256411,4098.197115384616,4274.379006410257,4075.817307692308,3945.208333333334,4079.186698717949
focussed,4090.6850961538466,4886.794871794872,4153.417467948719,4382.207532051282,4196.490384615385,4032.740384615385,4109.971955128206
focussed,4062.6041666666674,4974.250801282052,4224.611378205129,4359.843750000001,4152.171474358975,4086.8349358974365,4120.36858974359
focussed,4010.2604166666674,5116.514423076924,4369.563301282052,4214.238782051282,3956.3982371794878,4211.157852564103,4171.975160256411
focussed,3767.495993589744,5171.374198717949,4434.286858974359,3990.4687500000005,3648.9663461538466,4230.5849358974365,4092.0392628205136
focussed,3931.959134615385,4914.354967948719,4214.391025641026,4255.120192307693,4051.8669871794878,4026.8229166666674,4026.682692307693
focussed,4084.655448717949,4958.882211538462,4254.150641025642,4365.717147435898,4205.084134615385,4088.3413461538466,4128.297275641026
focussed,4057.0753205128212,5007.968750000001,4302.960737179487,4287.836538461539,4116.426282051282,4134.747596153847,4121.217948717949
focussed,3934.370993589744,5054.767628205129,4381.862980769231,4100.520833333334,3889.439102564103,4161.943108974359,4077.3758012820517
focussed,3971.3461538461543,4967.932692307693,4291.2860576923085,4184.010416666667,4046.2780448717954,4078.405448717949,4059.555288461539
focussed,4003.285256410257,4958.854166666667,4256.133814102564,4241.943108974359,4080.108173076924,4075.32451923077,4057.6322115384623
focussed,4013.217147435898,4980.352564102564,4252.027243589744,4248.790064102564,4072.920673076924,4082.904647435898,4068.870192307693
focussed,4006.654647435898,5015.753205128206,4269.895833333334,4229.791666666667,4040.220352564103,4109.603365384616,4077.836538461539
focussed,3949.7475961538466,4971.414262820514,4269.158653846154,4202.427884615385,3982.4198717948725,4045.7011217948725,4052.608173076924
focussed,4002.5200320512827,4964.951923076924,4259.671474358975,4241.474358974359,4072.8405448717954,4052.88060897436,4071.201923076924
focussed,4023.902243589744,4973.617788461539,4250.677083333334,4233.413461538462,4082.972756410257,4066.5625000000005,4073.4094551282055
focussed,4044.154647435898,5000.276442307693,4279.923878205129,4273.3974358974365,4092.976762820513,4084.8197115384623,4064.8317307692314
focussed,4018.4655448717954,4987.828525641026,4261.354166666667,4263.477564102564,4077.0032051282055,4093.6979166666674,4088.4935897435903
